,Survived
93,0.0
550,1.0
67,0.0
322,1.0
791,0.0
722,0.0
615,1.0
801,1.0
558,1.0
679,1.0
145,0.0
520,1.0
549,1.0
365,0.0
736,0.0
292,0.0
875,1.0
175,0.0
136,1.0
120,0.0
69,0.0
153,0.0
647,1.0
289,1.0
316,1.0
570,1.0
1,1.0
835,1.0
155,0.0
226,1.0
592,0.0
534,0.0
116,0.0
652,0.0
641,1.0
449,1.0
88,1.0
733,0.0
269,1.0
142,1.0
663,0.0
184,1.0
285,0.0
582,0.0
344,0.0
436,0.0
659,0.0
18,0.0
258,1.0
505,0.0
331,0.0
442,0.0
473,1.0
188,0.0
343,0.0
510,1.0
106,1.0
831,1.0
844,0.0
21,1.0
336,0.0
402,0.0
640,0.0
377,0.0
215,1.0
537,1.0
191,0.0
682,0.0
349,0.0
684,0.0
693,0.0
288,1.0
37,0.0
280,0.0
637,0.0
424,0.0
504,1.0
642,0.0
310,1.0
325,1.0
721,0.0
112,0.0
234,0.0
150,0.0
681,1.0
720,1.0
541,0.0
834,0.0
728,0.0
624,0.0
528,0.0
203,0.0
873,0.0
103,0.0
157,0.0
232,0.0
50,0.0
670,1.0
746,0.0
407,1.0
608,1.0
338,1.0
628,0.0
353,0.0
467,0.0
221,0.0
39,1.0
666,0.0
372,0.0
340,1.0
762,1.0
169,0.0
58,1.0
405,0.0
35,0.0
164,0.0
556,1.0
421,0.0
66,1.0
390,1.0
871,1.0
664,1.0
480,0.0
690,1.0
827,1.0
259,1.0
836,0.0
536,0.0
698,0.0
600,1.0
472,1.0
182,0.0
399,1.0
757,0.0
559,1.0
248,1.0
119,0.0
207,1.0
266,0.0
545,0.0
51,0.0
651,1.0
307,1.0
85,1.0
225,0.0
312,0.0
754,1.0
814,0.0
59,0.0
236,0.0
16,0.0
86,0.0
544,0.0
607,1.0
686,0.0
366,1.0
672,0.0
195,1.0
89,0.0
465,0.0
512,1.0
434,0.0
453,1.0
755,1.0
326,0.0
257,1.0
308,0.0
271,1.0
219,0.0
706,1.0
707,1.0
487,0.0
73,0.0
867,0.0
25,1.0
771,0.0
379,0.0
717,1.0
635,1.0
8,1.0
574,0.0
781,1.0
561,0.0
580,1.0
488,0.0
333,0.0
108,0.0
841,0.0
401,0.0
437,1.0
761,0.0
309,1.0
346,1.0
843,0.0
210,0.0
249,0.0
397,0.0
233,1.0
822,0.0
744,1.0
617,0.0
785,0.0
585,1.0
646,0.0
787,0.0
275,1.0
283,1.0
523,1.0
880,1.0
494,0.0
569,1.0
581,1.0
179,0.0
864,0.0
432,1.0
